Anonymous ID,Year,Prior Stat,Other Stat,Prior CS,Other CS,Prior Math,Other Math,How would you best describe your confidence with Tinker Plots?,How would you best describe your confidence with statistical concepts?,How would you best describe your confidence with R and RStudio?,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5,SD
53,Sophomore (2nd Year),No prior statistics courses taken,,No prior programming or computer science courses taken,,College level Calculus (eg. Math 221/231/241),,I occasionally feel confident when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I feel confused using R and RStudio most of the time,6,8,8,5,4,6,8,8,7,7,9,4,5,8,7,7,5,8,6,7,1.460893742
54,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.),AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.)",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confused when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I occasionally feel confused when using R and RStudio,9,8,9,9,8,9,8,8,8,7,8,9,9,9,9,8,9,8,8,9,0.6048053188
55,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,AP Calculus AB/BC,,I occasionally feel confused when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confused when using R and RStudio,8,6,10,8,3,5,6,10,7,8,7,3,7,8,3,8,3,10,7,3,2.438722703
56,Junior (3rd Year),"AP Statistics, IB Statistics or any other high school statistics course,Introductory College Statistics Course (100 or 200 level course),Advanced College Statics Course (300+ level statistics course)",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.),AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.),Introductory CS course for non-CS/CE/ECE majors (eg. CS 101, CS 105),Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128),200+ level CS courses",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I feel confident using Tinker Plots most of the time,I feel confident engaging with statistical concepts most of the time,I feel confident using R and RStudio most of the time,5,5,7,6,7,7,6,7,7,7,5,7,7,6,7,7,6,6,7,6,0.7539370349
57,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.)",,AP Calculus AB/BC,,I occasionally feel confused when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confused when using R and RStudio,7,7,8,7,5,7,8,7,7,7,8,7,7,7,8,7,6,7,6,7,0.7254762501
59,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,AP Calculus AB/BC,,I feel confident using Tinker Plots most of the time,I feel confident engaging with statistical concepts most of the time,I occasionally feel confident when using R and RStudio,6,6,6,9,7,7,8,8,8,6,5,7,5,7,8,7,6,8,6,8,1.119210248
60,Senior (4th Year +),"AP Statistics, IB Statistics or any other high school statistics course",,"Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128),200+ level CS courses",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I feel confident using Tinker Plots most of the time,I feel confident engaging with statistical concepts most of the time,I feel confident using R and RStudio most of the time,4,2,7,1,7,8,6,6,8,8,9,7,1,6,7,6,7,5,8,3,2.397366977
61,Sophomore (2nd Year),Introductory College Statistics Course (100 or 200 level course),,No prior programming or computer science courses taken,,College level Calculus (eg. Math 221/231/241),,I occasionally feel confident when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confident when using R and RStudio,8,8,9,7,5,6,6,8,5,8,6,6,7,6,5,6,6,7,4,8,1.316894273
62,Senior (4th Year +),Advanced College Statics Course (300+ level statistics course),,200+ level CS courses,,College level Calculus (eg. Math 221/231/241),,I occasionally feel confused when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I occasionally feel confident when using R and RStudio,5,5,5,3,5,7,7,9,8,6,7,8,7,9,7,6,5,5,8,6,1.569445091
63,Junior (3rd Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.)",,Other,Business Calculus,I occasionally feel confused when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I feel confused using R and RStudio most of the time,8,9,7,7,7,7,6,7,6,5,5,8,7,6,5,6,8,5,6,7,1.142481141
